CODEX,CODASS,CR,CURS,Q,APR,NP,NC,NF,GR,QUATRI
226494,240014,6.0,2010,1,S,6.3,6.3,6.3,72,Q1
227828,240015,6.0,2010,1,N,3.8,3.8,3.8,43,Q1
227829,240015,6.0,2010,1,N,3.0,3.0,3.0,43,Q1
230005,240015,6.0,2010,1,N,0.5,0.5,0.5,43,Q1
229857,240014,6.0,2010,1,S,7.0,7.0,7.0,31,Q1
226687,240014,6.0,2010,1,N,4.5,4.5,4.5,32,Q1
227769,240015,6.0,2010,1,S,7.7,7.7,7.7,22,Q1
227779,240015,6.0,2010,1,S,7.3,7.3,7.3,22,Q1
228323,240015,6.0,2010,1,S,6.8,6.8,6.8,22,Q1
229827,240015,6.0,2010,1,S,8.8,8.8,8.8,22,Q1
228027,240015,6.0,2010,1,S,6.9,6.9,6.9,23,Q1
228459,240015,6.0,2010,1,N,2.9,2.9,2.9,23,Q1
228663,240015,6.0,2010,1,N,1.2,1.2,1.2,23,Q1
227409,240015,6.0,2010,1,N,0.3,0.3,0.3,42,Q1
227755,240015,6.0,2010,1,N,3.5,3.5,3.5,42,Q1
228210,240015,6.0,2010,1,N,0.4,0.4,0.4,42,Q1
229368,240015,6.0,2010,1,N,4.6,4.6,4.6,42,Q1
227752,240015,6.0,2010,1,S,8.1,8.1,8.1,21,Q1
227765,240015,6.0,2010,1,N,3.0,3.0,3.0,21,Q1
227871,240015,6.0,2010,1,S,7.6,7.6,7.6,21,Q1
228091,240015,6.0,2010,1,S,7.7,7.7,7.7,21,Q1
232347,240015,6.0,2010,1,N,2.7,2.7,2.7,21,Q1
232679,240015,6.0,2010,1,N,0.3,0.3,0.3,21,Q1
227207,240015,6.0,2010,1,N,4.3,4.3,4.3,22,Q1
232248,240015,6.0,2010,1,N,1.5,1.5,1.5,42,Q1
227707,240015,6.0,2010,1,S,5.0,5.0,5.0,43,Q1
227786,240015,6.0,2010,1,N,2.2,2.2,2.2,43,Q1
227264,240015,6.0,2010,1,N,1.9,1.9,1.9,41,Q1
227302,240015,6.0,2010,1,S,5.0,5.0,5.0,41,Q1
227855,240015,6.0,2010,1,N,4.0,4.0,4.0,41,Q1
227369,240012,6.0,2010,1,S,5.2,5.2,5.2,63,Q1
227654,240012,6.0,2010,1,S,5.4,5.4,5.4,63,Q1
228122,240012,6.0,2010,1,S,6.1,6.1,6.1,63,Q1
230662,240012,6.0,2010,1,S,5.7,5.7,5.7,63,Q1
227332,240012,6.0,2010,1,S,7.4,7.4,7.4,71,Q1
229759,240012,6.0,2010,1,N,3.9,3.9,3.9,62,Q1
227942,240011,6.0,2010,1,S,7.8,7.8,7.8,72,Q1
230939,240011,6.0,2010,1,N,3.4,3.4,3.4,72,Q1
230992,240011,6.0,2010,1,S,6.4,6.4,6.4,72,Q1
231048,240011,6.0,2010,1,S,6.2,6.2,6.2,72,Q1
227584,240011,6.0,2010,1,S,7.4,7.4,7.4,73,Q1
227182,240011,6.0,2010,1,N,0.0,0.0,0.0,71,Q1
228884,240011,6.0,2010,1,S,5.2,5.2,5.2,71,Q1
229314,240012,6.0,2010,1,S,5.0,5.0,5.0,22,Q1
227821,240012,6.0,2010,1,S,7.0,7.0,7.0,23,Q1
228268,240012,6.0,2010,1,N,3.5,3.5,3.5,23,Q1
228532,240012,6.0,2010,1,S,5.1,5.1,5.1,23,Q1
230302,240012,6.0,2010,1,S,5.0,5.0,5.0,23,Q1
227213,240012,6.0,2010,1,N,4.6,4.6,4.6,22,Q1
227383,240012,6.0,2010,1,S,6.6,6.6,6.6,22,Q1
227636,240012,6.0,2010,1,N,4.1,4.1,4.1,22,Q1
227769,240012,6.0,2010,1,S,7.8,7.8,7.8,22,Q1
229137,240012,6.0,2010,1,S,9.0,9.0,9.0,22,Q1
227309,240012,6.0,2010,1,S,9.0,9.0,9.0,52,Q1
227609,240012,6.0,2010,1,S,5.7,5.7,5.7,52,Q1
228061,240012,6.0,2010,1,S,6.0,6.0,6.0,52,Q1
228188,240012,6.0,2010,1,N,1.2,1.2,1.2,52,Q1
227094,240012,6.0,2010,1,S,8.1,8.1,8.1,43,Q1
227451,240012,6.0,2010,1,S,7.0,7.0,7.0,43,Q1
231991,240012,6.0,2010,1,S,7.6,7.6,7.6,43,Q1
227365,240012,6.0,2010,1,S,7.0,7.0,7.0,42,Q1
227775,240012,6.0,2010,1,S,5.5,5.5,5.5,42,Q1
227805,240012,6.0,2010,1,S,7.6,7.6,7.6,42,Q1
228108,240012,6.0,2010,1,S,4.6,4.6,5.0,42,Q1
228571,240012,6.0,2010,1,S,6.6,6.6,6.6,42,Q1
228572,240012,6.0,2010,1,S,5.6,5.6,5.6,42,Q1
230805,240012,6.0,2010,1,S,6.4,6.4,6.4,42,Q1
227744,240011,6.0,2010,1,S,5.5,5.5,5.5,11,Q1
229677,240011,6.0,2010,1,S,6.0,6.0,6.0,12,Q1
232372,240011,6.0,2010,1,S,6.4,6.4,6.4,12,Q1
227125,240011,6.0,2010,1,N,4.5,4.5,4.5,13,Q1
227639,240011,6.0,2010,1,S,7.1,7.1,7.1,13,Q1
228063,240011,6.0,2010,1,S,6.1,6.1,6.1,13,Q1
232981,240011,6.0,2010,1,N,3.6,3.6,3.6,11,Q1
228429,240011,6.0,2010,1,N,3.3,3.3,3.3,12,Q1
228563,240011,6.0,2010,1,N,2.9,2.9,2.9,12,Q1
228599,240011,6.0,2010,1,N,4.4,4.4,4.4,12,Q1
228601,240011,6.0,2010,1,N,3.7,3.7,3.7,12,Q1
228623,240011,6.0,2010,1,S,5.3,5.3,5.3,12,Q1
227476,240011,6.0,2010,1,N,4.2,4.2,4.2,31,Q1
228108,240011,6.0,2010,1,N,3.6,3.6,3.6,42,Q1
228571,240011,6.0,2010,1,S,7.0,7.0,7.0,42,Q1
231325,240011,6.0,2010,1,S,5.4,5.4,5.4,42,Q1
232799,240011,6.0,2010,1,N,2.7,2.7,2.7,42,Q1
228525,240011,6.0,2010,1,S,5.1,5.1,5.1,31,Q1
228581,240011,6.0,2010,1,S,7.3,7.3,7.3,31,Q1
228628,240011,6.0,2010,1,S,6.0,6.0,6.0,31,Q1
228631,240011,6.0,2010,1,N,4.6,4.6,4.6,31,Q1
229857,240011,6.0,2010,1,S,6.3,6.3,6.3,31,Q1
227738,240011,6.0,2010,1,S,5.6,5.6,5.6,23,Q1
228663,240011,6.0,2010,1,S,6.6,6.6,6.6,23,Q1
228154,240011,6.0,2010,1,S,7.4,7.4,7.4,41,Q1
229890,240011,6.0,2010,1,S,7.7,7.7,7.7,41,Q1
227098,240011,6.0,2010,1,N,3.8,3.8,3.8,42,Q1
227338,240011,6.0,2010,1,S,9.5,9.5,9.5,53,Q1
227406,240011,6.0,2010,1,N,4.5,4.5,4.5,53,Q1
228096,240011,6.0,2010,1,S,7.3,7.3,7.3,63,Q1
229370,240011,6.0,2010,1,N,3.5,3.5,3.5,53,Q1
227128,240011,6.0,2010,1,S,5.1,5.1,5.1,62,Q1
228324,240011,6.0,2010,1,S,5.2,5.2,5.2,62,Q1
229972,240011,6.0,2010,1,N,2.4,2.4,2.4,52,Q1
228704,240011,6.0,2010,1,N,2.2,2.2,2.2,13,Q1
227048,240011,6.0,2010,1,S,5.5,5.5,5.5,21,Q1
227285,240012,6.0,2010,1,N,4.1,4.1,4.1,72,Q1
230661,240012,6.0,2010,1,N,2.6,2.6,2.6,72,Q1
230939,240012,6.0,2010,1,S,5.7,5.7,5.7,72,Q1
231202,240012,6.0,2010,1,N,4.7,4.7,4.7,72,Q1
228418,240012,6.0,2010,1,S,5.0,5.0,5.0,73,Q1
231199,240012,6.0,2010,1,N,3.5,3.5,3.5,73,Q1
227838,240011,6.0,2010,1,N,3.2,3.2,3.2,22,Q1
229314,240011,6.0,2010,1,S,5.7,5.7,5.7,22,Q1
228474,240012,6.0,2010,1,S,5.2,5.2,5.2,12,Q1
226515,240012,6.0,2010,1,S,6.1,6.1,6.1,13,Q1
227036,240012,6.0,2010,1,S,7.0,7.0,7.0,13,Q1
228371,240012,6.0,2010,1,S,5.2,5.2,5.2,13,Q1
228615,240012,6.0,2010,1,S,8.3,8.3,8.3,13,Q1
233142,240012,6.0,2010,1,S,5.0,5.0,5.0,13,Q1
227012,240012,6.0,2010,1,S,5.7,5.7,5.7,21,Q1
227045,240012,6.0,2010,1,N,1.0,1.0,1.0,21,Q1
227871,240011,6.0,2010,1,S,6.0,6.0,6.0,21,Q1
228162,240012,6.0,2010,1,S,7.0,7.0,7.0,12,Q1
227725,240012,6.0,2010,1,S,5.2,5.2,5.2,21,Q1
227816,240012,6.0,2010,1,S,8.2,8.2,8.2,21,Q1
227133,240011,6.0,2010,1,S,8.0,8.0,8.0,22,Q1
227341,240011,6.0,2010,1,S,4.6,4.6,5.0,22,Q1
227636,240011,6.0,2010,1,N,3.5,3.5,3.5,22,Q1
227040,240011,6.0,2010,1,N,3.0,3.0,3.0,33,Q1
227506,240011,6.0,2010,1,N,4.4,4.4,4.4,33,Q1
